Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
The Food Of Love,"Een heerlijke roman over culinaire verleiding Zijn Italiaanse mannen echt zulke goede minnaars? De Amerikaanse Laura, studente kunstgeschiedenis in Roma, heeft andere ervaringen. Een vriendin suggereert dat ze op zoek moet gaan naar een chef-kok; een man die goed kan koken zal ongetwijfeld ook een goede minnaar zijn. Laura ontmoet de onweerstaanbare Tomasso, die bij het exclusieve restaurant Templi werkt. Tomasso verzwijgt echter dat hij slechts ober is – en dat de verlegen Bruno de chef-kok is die meest sensuele gerechten voor haar bereidt… Anthony Capella is naast auteur ook een fervent reiziger en amateurkok. Hij is tevens auteur van Dansen op de vulkaan en De koffiehandelaar. Hij woont in Oxfordshire met zijn gezin.",['Anthony Capella'],http://books.google.com/books/content?id=pyFZAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=pyFZAgAAQBAJ&printsec=frontcover&dq=The+Food+Of+Love&hl=&cd=1&source=gbs_api,Boekerij,2013-12-17,http://books.google.nl/books?id=pyFZAgAAQBAJ&dq=The+Food+Of+Love&hl=&source=gbs_api,['Fiction'],
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",['Thomas Chastain'],http://books.google.com/books/content?id=oOdmGU8i_H8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oOdmGU8i_H8C&q=Perry+Mason+in+the+Case+of+Too+Many+Murders&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&cd=1&source=gbs_api,Avon Books,1990-07,http://books.google.nl/books?id=oOdmGU8i_H8C&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&source=gbs_api,['Fiction'],2.0
Information Breakthrough (Psi Successful Business Library),Demonstrates how to develop specific measures of business performance by extracting relevant information out of endless amounts of data,['Charles J. Bodenstab'],http://books.google.com/books/content?id=jSkJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=jSkJAAAACAAJ&dq=Information+Breakthrough+(Psi+Successful+Business+Library)&hl=&cd=1&source=gbs_api,Hellgate Press,1997-01-01,http://books.google.nl/books?id=jSkJAAAACAAJ&dq=Information+Breakthrough+(Psi+Successful+Business+Library)&hl=&source=gbs_api,['Computers'],
Foreignisms: A dictionary of foreign expressions commonly (and not so commonly) used in English,"With more than 1,000 entries, a guide to pronunciation, examples and guidance on use in writing and speaking, Foreignisms not only educates and entertains but helps one incorporate les mots justes into conversation.",['Tad Tuleja'],http://books.google.com/books/content?id=MHgYAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=MHgYAAAAIAAJ&dq=Foreignisms:+A+dictionary+of+foreign+expressions+commonly+(and+not+so+commonly)+used+in+English&hl=&cd=1&source=gbs_api,New York : Macmillan ; London : Collier Macmillan,1989,http://books.google.nl/books?id=MHgYAAAAIAAJ&dq=Foreignisms:+A+dictionary+of+foreign+expressions+commonly+(and+not+so+commonly)+used+in+English&hl=&source=gbs_api,['English language'],
How to Discipline Kids without Losing Their Love and Respect,"Imagine... No More Arguing. Imagine... No More Manipulation. Imagine... Stess Free Parenting. For over fifty years, Jim Fay has worked with schools, families, and children in the areas of teaching, parenting and discipline. In 1977, along with internationally renowned psychiatrist Dr. Foster W. Cline, he founded the Love and Logic Institute, Inc. which is dedicated to helping parents and educators create responsible kids. We know you will enjoy this book by beloved storyteller and parenting expert, Jim Fay, as he speaks to parents, educators, and community leaders about how to discipline kids without losing their love or respect.",['Jim Fay'],http://books.google.com/books/content?id=IWXqPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&cd=1&source=gbs_api,Love & Logic Press,2004-01-01,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&source=gbs_api,['Family & Relationships'],1.0
Dinner At Antoine's,,['Frances Parkinson Keyes'],http://books.google.com/books/content?id=Ksd_Qm6hSEgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=Ksd_Qm6hSEgC&q=Dinner+At+Antoine%27s&dq=Dinner+At+Antoine%27s&hl=&cd=1&source=gbs_api,,1968,http://books.google.nl/books?id=Ksd_Qm6hSEgC&dq=Dinner+At+Antoine%27s&hl=&source=gbs_api,,
The Faces of Homoeopathy,"After being out of print for a number of years, Julian Winston's The Faces of Homoeopathy,one of the best historical books dealing with homeopathy in the United States, is now back in print.Last published in 1999, Jay Yasgur and Linda Lillard have republished this important referencein paperback. It provides an understanding and perspective of the development of homeopathyfrom the early 19th Century through the 20th. Winston's narrative is brought to life through 137biographies of those who contributed towards the development of homeopathy in the U.S. and GreatBritain. It also includes 365 illustrations, a section on pharmacy and potentizing machines and alisting of homeopathic hospitals which existed in the U.S., etc. A brief history of homeopathy in eachof the U.S. states and 69 countries is also appended. A treasured and entertaining resource.",['Julian Winston'],http://books.google.com/books/content?id=RTEozgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=RTEozgEACAAJ&dq=The+Faces+of+Homoeopathy&hl=&cd=1&source=gbs_api,,2020-11,http://books.google.nl/books?id=RTEozgEACAAJ&dq=The+Faces+of+Homoeopathy&hl=&source=gbs_api,,
HTML: The Complete Reference,"The Definitive Guide to HTML and CSS--Fully Updated Written by a Web development expert, the fifth edition of this trusted resource has been thoroughly revised and reorganized to address HTML5, the revolutionary new Web standard. The book covers all the elements supported in today's Web browsers--from the standard (X)HTML tags to the archaic and proprietary tags that may be encountered. HTML and CSS: The Complete Reference, Fifth Edition contains full details on CSS 2.1 as well as every proprietary and emerging CSS3 property currently supported. Annotated examples of correct markup and style show you how to use all of these technologies to build impressive Web pages. Helpful appendixes cover the syntax of character entities, fonts, colors, and URLs. This comprehensive reference is an essential tool for professional Web developers. Master transitional HTML 4.01 and XHTML 1.0 markup Write emerging standards-based markup with HTML5 Enhance presentation with Cascading Style Sheets (CSS1 and CSS 2.1) Learn proprietary and emerging CSS3 features Learn how to read (X)HTML document type definitions (DTDs) Apply everything in an open standards-focused fashion Thomas A. Powell is president of PINT, Incorporated (pint.com), a nationally recognized Web agency. He developed the Web Publishing Certificate program for the University of California, San Diego Extension and is an instructor for the Computer Science Department at UCSD. He is the author of the previous bestselling editions of this book and Ajax: The Complete Reference, and co-author of JavaScript: The Complete Reference.",['Thomas Powell'],,http://books.google.nl/books?id=e3tGzQEACAAJ&dq=HTML:+The+Complete+Reference&hl=&cd=1&source=gbs_api,,2010,http://books.google.nl/books?id=e3tGzQEACAAJ&dq=HTML:+The+Complete+Reference&hl=&source=gbs_api,,
The Cosmic Decoy (Perry Rhodan #21),,"['K. H. Scheer', 'Wendayne Ackerman', 'F. J. Ackerman']",,http://books.google.nl/books?id=MwqdtgAACAAJ&dq=The+Cosmic+Decoy+(Perry+Rhodan&hl=&cd=1&source=gbs_api,,1977,http://books.google.nl/books?id=MwqdtgAACAAJ&dq=The+Cosmic+Decoy+(Perry+Rhodan&hl=&source=gbs_api,,
Cinema and Soviet Society; From the Revolution To the Death of Stalin.,"The story of Soviet film over the period covered by Peter Kenez is central to the history of World Cinema. In this revised, updated paperback edition of his classic text, Peter Kenez explores the roots of Soviet cinema in the film heritage of pre-Revolutionary Russia, tracing the changes in content, style, technical means and production capacities generated by the Revolution of 1917; the constraints on form and subject imposed from the 1930s in the name of Socialist Realism; the relative freedom of expression accorded to film-makers during World War Two; and the extraordinary repression during the final years of Stalin era. Based on original research both in the former Soviet Union and elsewhere in the primary sources of Eastern Europe, this is the essential student text on the period which produced the major films of such 'greats' as Eisenstein, Vertov, Kuleshov, Pudovkin and many more.",['Peter Kenez'],http://books.google.com/books/content?id=t2U2zAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=t2U2zAEACAAJ&dq=Cinema+and+Soviet+Society%3B+From+the+Revolution+To+the+Death+of+Stalin.&hl=&cd=1&source=gbs_api,I.B. Tauris,2000-12-15,http://books.google.nl/books?id=t2U2zAEACAAJ&dq=Cinema+and+Soviet+Society%3B+From+the+Revolution+To+the+Death+of+Stalin.&hl=&source=gbs_api,['Performing Arts'],
Behind the Moon,"In the fishing village where he lives, David sits alone by the shore at night, watching the path of light that stretches across the sea until it almost touches the moon. Wondering, where does it go? Then one day he hears a voice of the Moon-Angel. Why not try the moon-path tonight? As David will discover, the path leads to a magical world behind the moon.",,http://books.google.com/books/content?id=_AEhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=_AEhAAAAMAAJ&printsec=frontcover&dq=Behind+the+Moon&hl=&cd=1&source=gbs_api,,1895,https://play.google.com/store/books/details?id=_AEhAAAAMAAJ&source=gbs_api,['Adventure stories'],3.0
Bruce Lee: The Incomparable Fighter,"Get to know the true Bruce Lee through the eyes of his friend, M. Uyehara. Pound for pound, he may have been the greatest fighter who ever lived. Read about his good and bad times, his dreams and destiny shattered by his early death.",['M. Uyehara'],http://books.google.com/books/content?id=Z4qHatHRJlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Z4qHatHRJlsC&printsec=frontcover&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&cd=1&source=gbs_api,Black Belt Communications,1988,http://books.google.nl/books?id=Z4qHatHRJlsC&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&source=gbs_api,['Biography & Autobiography'],2.0
Jimmy Jam Germ And the Happy Handshake (The Adventures of Thumbs Up Johnnie),Thumbs up Johnnie visits all his favorite places on Lone Star Row and meets Jimmy Jam Germ who teaches everyone about washing their hands to prevent germs from spreading.,['Michelle Bain'],http://books.google.com/books/content?id=YLYbGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=YLYbGQAACAAJ&dq=Jimmy+Jam+Germ+And+the+Happy+Handshake+(The+Adventures+of+Thumbs+Up+Johnnie)&hl=&cd=1&source=gbs_api,,2007-03-01,http://books.google.nl/books?id=YLYbGQAACAAJ&dq=Jimmy+Jam+Germ+And+the+Happy+Handshake+(The+Adventures+of+Thumbs+Up+Johnnie)&hl=&source=gbs_api,['Juvenile Fiction'],
Woburn: Forgotten Tales & Untold Stories,,,,http://books.google.nl/books?id=XujMAAAACAAJ&dq=Woburn:+Forgotten+Tales&hl=&cd=1&source=gbs_api,,2004-01-01,http://books.google.nl/books?id=XujMAAAACAAJ&dq=Woburn:+Forgotten+Tales&hl=&source=gbs_api,['Woburn (Mass.)'],
"God was in this place & I, i did not know: Finding self, spirituality, and ultimate meaning","God encourages us in his Word to give thanks in all things at all times. That’s not a mistake. When we choose to focus on things we are grateful for, we become happier people. Our satisfaction in life increases. Comparisons cease. Unnecessary pursuits pause. And we begin to notice the little things. The things that matter. Life. Breath. Connection. Kindness. Beauty. This is where we find God—our true happy place. As you reflect on these devotional entries, Scriptures, and prayers, refocus your perspective and begin to meditate on things that produce life and joy, that bring peace and comfort. Spend the beginning and end of your day with God, experiencing his goodness and being refreshed in his presence. Be encouraged as you take time to ponder how wonderfully unique and abundantly blessed you are. Evaluate each day in the light of God’s truth. From the time you wake up, until the time you fall into bed at night, choose gratitude. Choose satisfaction. Choose your happy place.",['BroadStreet Publishing Group LLC'],http://books.google.com/books/content?id=HXoSEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=HXoSEAAAQBAJ&printsec=frontcover&dq=God+was+in+this+place&hl=&cd=1&source=gbs_api,BroadStreet Publishing Group LLC,2021-04-06,https://play.google.com/store/books/details?id=HXoSEAAAQBAJ&source=gbs_api,['Religion'],
Cascade Point and Other Stories,"This collection of fifteen science fiction tales features the Hugo Award-winning title story and includes the never-before-published ""Not Always The Strong""",['Timothy Zahn'],,http://books.google.nl/books?id=ZJAVAAAACAAJ&dq=Cascade+Point+and+Other+Stories&hl=&cd=1&source=gbs_api,St Martins Press,1986,http://books.google.nl/books?id=ZJAVAAAACAAJ&dq=Cascade+Point+and+Other+Stories&hl=&source=gbs_api,['Fiction'],
The soul of man under socialism,The soul of man under socialism by Oscar Wilde is a fascinating libertarian socialist world-view and a critique of charity. Oscar Wilde is widely accepted as being one of the greatest authors who ever lived. This is an excellent addition to the collection and a masterful piece of literature.,['Oscar Wilde'],,http://books.google.nl/books?id=hCTetAEACAAJ&dq=The+soul+of+man+under+socialism&hl=&cd=1&source=gbs_api,,2016-11-23,http://books.google.nl/books?id=hCTetAEACAAJ&dq=The+soul+of+man+under+socialism&hl=&source=gbs_api,,
Prep for PRAXIS: PRAXIS II Exam 2003 (Arco Master the Praxis II Exam),,,http://books.google.com/books/content?id=In5YAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=In5YAAAAYAAJ&q=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&dq=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&hl=&cd=1&source=gbs_api,,2001-10,http://books.google.nl/books?id=In5YAAAAYAAJ&dq=Prep+for+PRAXIS:+PRAXIS+II+Exam+2003+(Arco+Master+the+Praxis+II+Exam)&hl=&source=gbs_api,"[""Children's libraries""]",
